position,title,link,product_link,product_id,serpapi_product_api,source,price,extracted_price,rating,reviews,thumbnail,delivery,extensions,badge,tag,store_rating,store_reviews,number_of_comparisons,comparison_link,serpapi_product_api_comparisons,old_price,extracted_old_price,second_hand_condition,Query_List,Query,Proxy_rating,Proxy_reviews,Discount,Promo_1,Promo_2,Proxy_store,Proxy_seller_1,Proxy_seller_2,Proxy_seller_3,Proxy_seller_4,Proxy_seller_5,Proxy_seller_6,Proxy_seller_7
11,Gap Men's Everyday Soft Crewneck T-Shirt Tee,https://www.amazon.com/GAP-Everyday-T-Shirt-Gasoline-X-Large/dp/B09VKSJ1Y1?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=ATVPDKIKX0DER,https://www.google.com/shopping/product/13433960391733248589?gl=us,13433960391733248589,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=13433960391733248589,Amazon.com,,17.69,4.8,50.0,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQpBZmqOv8VUyR7fr7Fm8Eu3ZLmflxrCz3R9JBGIhSzbRB46mUbnYGx9iTEtwXAHG-wZnaTCI92hGDVXV4yLBUMup7YaRJcj1ExxMOCFxeM2EeiXuEe8jiy&usqp=CAE,$5.99 delivery,,Top Quality Store,,4.5,2500.0,,,,,,,gap_q,gap shirts,4.8,50.0,0.0,0,0,1,0,0,0,0,1,0,0
12,Gap Factory Boys' Gap Logo T-Shirt Foliage Green Size M,https://www.gapfactory.com/browse/product.do?pid=781957011&vid=1&tid=gfns000002,https://www.google.com/shopping/product/12592438596609116640?gl=us,12592438596609116640,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=12592438596609116640,Gap Factory,,17.99,,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQ3S7TwdVXB3_y5brWGAPhJI8TLZvnDj0MIrcf2rZRHzdtxtuoz8QNqYZHrWNzUqYzT-hjEHD2BTVVAbx4lCzMpnqPUhXERBndNoF0EQUea_tljcUjE7vvS&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns","['$3.00 below typical', 'LOW PRICE']",Top Quality Store,LOW PRICE,4.6,,,,,,,,gap_q,gap shirts,4.404166666666667,134.83333333333334,0.0,1,0,1,1,1,0,0,0,0,0
13,Gap Men's Long Sleeve Oxford Button Down Shirt,https://www.amazon.com/GAP-Mens-Standard-Oxford-Shirt/dp/B09VKS4VHV?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=ATVPDKIKX0DER,https://www.google.com/shopping/product/5427280203404599710?gl=us,5427280203404599710,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=5427280203404599710,Amazon.com,,38.49,,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSmnw9TVaQZQolK0qAebNQeqtA4cWe1ClMXrGFAeBEt8YnN5o47wxilb3p8x7FysZkal_S34HT7-7AjnNMMWkGCMuemc4oGg6gP3Ar480k&usqp=CAE,Free delivery,,Top Quality Store,,4.5,2500.0,,,,,,,gap_q,gap shirts,4.404166666666667,134.83333333333334,0.0,0,0,1,0,0,0,0,1,0,0
14,Men's Refined Pique Polo Shirt Shirt by Gap New Classic Navy Size S,https://www.gap.com/browse/product.do?pid=804370002&vid=1&tid=gpns000044,https://www.google.com/shopping/product/10301986757463326442?gl=us,10301986757463326442,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=10301986757463326442,Gap,,25.99,,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRRPKg9z8UcJ45Zw-l_zHEVCv5ALYHhxHyfnKROmWtJ7VwjX3nIKVCFhqmaXlEFH8r7Xz5wfkDZsNHrgqGpUt2hAddUCNhEV7u40USZKBu8h3SO2jQquC_meQ&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns","['$4.00 below typical', 'LOW PRICE']",Top Quality Store,LOW PRICE,4.6,,,,,,,,gap_q,gap shirts,4.404166666666667,134.83333333333334,0.0,1,0,1,1,0,0,0,0,0,0
15,Gap Factory Men's Graphic T-Shirt Sage Green Size M,https://www.gapfactory.com/browse/product.do?pid=673529001&vid=1&tid=gfns000002,https://www.google.com/shopping/product/14289524922308585380?gl=us,14289524922308585380,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=14289524922308585380,Gap Factory,,20.99,5.0,6.0,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRZuunpwnwIbeIiM9xNZn1Obv5WtaVSnMrbZ2BfqzQ2JpWBznGpmE_sso8snPGPuKUGAJHyAZ9O5O8JNnWA1GtCYPtibEw-vAhsRVCHzxc&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns",['SALE'],Top Quality Store,SALE,4.6,,,,,,29.99,,gap_q,gap shirts,5.0,6.0,-9.0,0,1,1,1,1,0,0,0,0,0
16,"Gap Women's Soft Slub Scoop Neck Long Sleeve T-Shirt (Rose, XXL)",https://www.mercari.com/us/item/m86959148604/,https://www.google.com/shopping/product/13201181286948882291?gl=us,13201181286948882291,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=13201181286948882291,Mercari,,19.0,4.3,41.0,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRzt62JgMNMOVj3EyvJ6S84d8zcNsz-Buu43893E7Hjb6IQXFyquQHd_IWKqUzc1_vyxI0d_njtOG4GnBkNEuq47DkMEtHtzR1qkLCihZs&usqp=CAE,Free delivery,,,,,,10+,"https://www.google.com/shopping/product/13201181286948882291/offers?gl=us&hl=en&uule=w+CAIQICINVW5pdGVkIFN0YXRlcw&q=gap+shirts&prds=eto:10448767620832732575_0,pid:17954228356082049708,rsk:PC_13423097841091136908&sa=X&ved=0ahUKEwiLj8eyiNaBAxV2cfEDHSYrAx8Q3q4ECO4Q",https://serpapi.com/search.json?engine=google_product&filter=eto%3A10448767620832732575_0%2Cpid%3A17954228356082049708%2Crsk%3APC_13423097841091136908&hl=en&offers=1&product_id=13201181286948882291&sa=X&uule=w+CAIQICINVW5pdGVkIFN0YXRlcw&ved=0ahUKEwiLj8eyiNaBAxV2cfEDHSYrAx8Q3q4ECO4Q,,,,gap_q,gap shirts,4.3,41.0,0.0,0,0,0,0,0,0,0,0,0,0
17,GAP Women's 2-Pack Long Sleeve Logo Tee T-Shirt,https://www.amazon.com/GAP-Womens-Sleeve-Tshirt-Uniform/dp/B09XQKTFND?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=ATVPDKIKX0DER,https://www.google.com/shopping/product/1?gl=us&prds=pid:6219799064956943455,6219799064956943455,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=6219799064956943455,Amazon.com,,30.47,,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSnR7kH-ub2VND8jv4PC5-TYJbABn6LwalSG6IWweSh762zioeLfv-PxiKIFnPE9RWZKojEHdqJrpwjSJDFkHQu8HieJ9kQcpiFMhGCi8vBZb8Ksyuco8tdOg&usqp=CAE,$7.14 delivery,,Top Quality Store,,4.5,2500.0,,,,,,,gap_q,gap shirts,4.404166666666667,134.83333333333334,0.0,0,0,1,0,0,0,0,1,0,0
18,Gap Men's 3-Pack Everyday Short Sleeve Tee T-Shirt,https://www.ebay.com/itm/204353021418?chn=ps&mkevt=1&mkcid=28&var=504897629652&srsltid=AfmBOopw7gkbat8m_E1WacpcLkRzstHAAaZRJZBR8q-BZ7wRVNJhzUA09dE&com_cvv=d30042528f072ba8a22b19c81250437cd47a2f30330f0ed03551c4efdaf3409e,https://www.google.com/shopping/product/10927140369915697672?gl=us,10927140369915697672,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=10927140369915697672,eBay - lavanyaboutique,,48.08,,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQYDHaO_noRXZ_hnocB035AFtzQVF1f8zbfn5lkzyta8Rr3buKtjZTlphJPBVIewYW6o9qlL2yq0QWnG1-g1kIG8vBLvqR19EJz0sH-57sqf0bHUq5BQ7A_FA&usqp=CAE,Free delivery & Free 30-day returns,,,,,,2,"https://www.google.com/shopping/product/10927140369915697672/offers?gl=us&hl=en&uule=w+CAIQICINVW5pdGVkIFN0YXRlcw&q=gap+shirts&prds=eto:6248639461240780947_0,pid:11820484743458758585&sa=X&ved=0ahUKEwiLj8eyiNaBAxV2cfEDHSYrAx8Q3q4ECI4R",https://serpapi.com/search.json?engine=google_product&filter=eto%3A6248639461240780947_0%2Cpid%3A11820484743458758585&hl=en&offers=1&product_id=10927140369915697672&sa=X&uule=w+CAIQICINVW5pdGVkIFN0YXRlcw&ved=0ahUKEwiLj8eyiNaBAxV2cfEDHSYrAx8Q3q4ECI4R,,,,gap_q,gap shirts,4.404166666666667,134.83333333333334,0.0,0,0,0,0,0,0,0,0,1,0
19,Women's 100% Organic Cotton Vintage Crewneck T-Shirt by Gap Heather Grey Size Xxs,https://www.gap.com/browse/product.do?pid=795346052&vid=1&tid=gpns000044,https://www.google.com/shopping/product/15443244554343358250?gl=us,15443244554343358250,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=15443244554343358250,Gap,,14.0,5.0,1.0,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRIqrtqBfr1dz0KvMLCQI2-d24hhAysi3B46BF9Xwv4WoxA42JzriT5G2At3L7kDsz8vwp59_oXtdghfN0V2-U4e_NUqLGXcHFLhC0RsER1zNhXn2NuZG3W&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns","['$5.00 below typical', 'LOW PRICE']",Top Quality Store,LOW PRICE,4.6,,,,,,,,gap_q,gap shirts,5.0,1.0,0.0,1,0,1,1,0,0,0,0,0,0
20,Gap Classic V T-Shirt (3-Pack) Multi,https://modesens.com/product/gap-classic-v-t-shirt-3-pack-multi-62414548/?country=us&language=en&refinfo=gSH_ggfGapmc-ApAcClShTo62414548&srsltid=AfmBOopvA2FO_c-QJI9ghwOoxsKdiZfGTWYrrvwOvjaFeu8I8mnwksjbYAU,https://www.google.com/shopping/product/11760981230976843576?gl=us,11760981230976843576,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=11760981230976843576,ModeSens,,15.0,4.0,23.0,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRwmsesjbM4AHzSY1kyMg-nZyVYDTBdUGc35Z5itiOyWV4c12kF0tfqLXp7fOBBBCW2jYKMY5hlk-G6EShidCHTISpg7FRFzEXpU3CIte0ve3_EUiesz9YAlQ&usqp=CAE,$7.00 delivery,"['$12.00 below typical', 'LOW PRICE']",,LOW PRICE,,,,,,,,,gap_q,gap shirts,4.0,23.0,0.0,1,0,0,0,0,0,0,0,0,0
21,Gap Factory Men's Gap Graphic T-Shirt Deep Depths Green Size S,https://www.gapfactory.com/browse/product.do?pid=777178011&vid=1&tid=gfns000002,https://www.google.com/shopping/product/11150413696882200409?gl=us,11150413696882200409,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=11150413696882200409,Gap Factory,,12.0,,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTL2nMYusgvAkuRmIGD5XKEABmeQZ-SUplO06-b041dET9rhbiasrXb9Bn9hUzoxs-ODblWkZbs632884s_2m0j8N7loqZqmMybZB_mgJc&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns","['$2.99 below typical', 'LOW PRICE']",Top Quality Store,LOW PRICE,4.6,,,,,,,,gap_q,gap shirts,4.404166666666667,134.83333333333334,0.0,1,0,1,1,1,0,0,0,0,0
22,Gap Men's Knit Button Down Shirt,https://www.amazon.com/GAP-Mens-Button-Shirt-Black/dp/B0BNWQXVXB?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=ATVPDKIKX0DER,https://www.google.com/shopping/product/3605607111656719338?gl=us,3605607111656719338,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=3605607111656719338,Amazon.com,,29.88,,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQ0orTnQitFh0aZymMHV9H5obhLYGPqMe9x4jvFpqJfJ2pAYV7iY0d-htZyjmZpCIBTCjJy_o74Z3_Xvk9EGqmquKhBBMCvNaB1sCe2UBY&usqp=CAE,$6.99 delivery,,Top Quality Store,,4.5,2500.0,,,,,,,gap_q,gap shirts,4.404166666666667,134.83333333333334,0.0,0,0,1,0,0,0,0,1,0,0
23,Men's All-Day Poplin Shirt in Untucked Fit by Gap Pink Standard Size M,https://www.gap.com/browse/product.do?pid=802532122&vid=1&tid=gpns000044,https://www.google.com/shopping/product/3542756672340965859?gl=us,3542756672340965859,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=3542756672340965859,Gap,,29.0,4.7,98.0,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRFn-xtO4WHkbslgtrkt_FiA2A2w-5cfjtA4gvMN0R9mavElu7iP1CzvMKRTPnz-57n28tBTSEOg_I1T9jSiSV7US3OE5RUPAQmGEWzjuHdUmqMU1vEaPVuCQ&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns","['$6.00 below typical', 'LOW PRICE']",Top Quality Store,LOW PRICE,4.6,,,,,,,,gap_q,gap shirts,4.7,98.0,0.0,1,0,1,1,0,0,0,0,0,0
