position,title,link,product_link,product_id,serpapi_product_api,number_of_comparisons,comparison_link,serpapi_product_api_comparisons,source,price,extracted_price,rating,reviews,badge,thumbnail,delivery,old_price,extracted_old_price,tag,extensions,store_rating,second_hand_condition,Query_List,Query,Proxy_rating,Proxy_reviews,Discount,Promo_1,Promo_2,Proxy_store,Proxy_seller_1,Proxy_seller_2,Proxy_seller_3,Proxy_seller_4,Proxy_seller_5,Proxy_seller_6,Proxy_seller_7,store_reviews,alternative_price
11,"Banana Republic Men's Short Sleeve Solid Pique Polo Shirts, S M L XL XXL",https://www.ebay.com/itm/174699362258?chn=ps&mkevt=1&mkcid=28&var=474147547181&srsltid=AfmBOooTylcSz4ah1q979KlyFRVoNZfBeXu2rwbNu7N0gkDXndekD1XrAnw&com_cvv=d30042528f072ba8a22b19c81250437cd47a2f30330f0ed03551c4efdaf3409e,https://www.google.com/shopping/product/1?gl=us&prds=pid:4341555244212274606,4341555244212274606,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=4341555244212274606,,,,eBay - rivermissouri,,29.98,,,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRLTQWr0Q1nZg2iYlTGM3RfPlmnAlf3cz2a7GzVzA_DhoBMYYWUKe9u1OC7F8eG7g3WTNsKWA-lB9at_scSUgXArp_FgHXjnCRSLBPuPAh-3BB12xbktl3ECg&usqp=CAE,"Free delivery by Wed, Oct 11",,,,,,,ban_q,banana republic shirts,4.629411764705883,65.0,0.0,0,0,0,0,0,0,0,0,1,0,,
12,Banana Republic Women's Slub Crew-Neck T-Shirt Pink Blush Crush Petite Size M,https://bananarepublic.gap.com/browse/product.do?pid=817022022&vid=3&tid=brns000051,https://www.google.com/shopping/product/4461209895484851418?gl=us,4461209895484851418,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=4461209895484851418,,,,Banana Republic,,35.99,,,Top Quality Store,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQXH5q4cMJ36uKCdayxjFg9_HwgQ75wAPwoWpmQzBLKuiH3Uzujrs9Ev70-SLg2t1D-0NtO3lNl-6jSB6Uc2yW9QqAa2RgmQIWQc0e8w3Q&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns",,,LOW PRICE,"['$9.01 below typical', 'LOW PRICE']",,,ban_q,banana republic shirts,4.629411764705883,65.0,0.0,1,0,1,0,0,0,1,0,0,0,,
13,Banana Republic Factory Men's Luxe Touch T-Shirt Black Regular Size M,https://bananarepublicfactory.gapfactory.com/browse/product.do?pid=710601001&vid=1&tid=bfns000001,https://www.google.com/shopping/product/5889919523291594841?gl=us,5889919523291594841,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=5889919523291594841,,,,Banana Republic Factory,,24.0,4.5,54.0,Top Quality Store,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQSMUvSnh08UF19kAMh7gBYx5GXlG75B_uqcmajFDEPNhfCeQkl9xDnchdZblCnICxn_b-s6n1X2L4AFi3zf8bhY2iperblTQ5-uy0jtM1p&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns",,40.0,SALE,['SALE'],4.6,,ban_q,banana republic shirts,4.5,54.0,-16.0,0,1,1,0,0,0,1,0,0,0,,
14,Banana Republic Women's Petite Ramie Top Black Petite Size Xs,https://bananarepublic.gap.com/browse/product.do?pid=445932022&vid=3&tid=brns000051,https://www.google.com/shopping/product/9100594070547428?gl=us,9100594070547428,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=9100594070547428,,,,Banana Republic,,29.97,4.2,51.0,Top Quality Store,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQVf3OBY-PAUpt14OFThVI6CqhxkgWB8kGSzrlGe2vK6841vQ8Mb2rmnVpY2Yg72NBqZcdEpA5PZNi6E_GViq8LhW4vOVkr2HP2Sf2aqbYs&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns",,,LOW PRICE,"['$7.00 below typical', 'LOW PRICE']",,,ban_q,banana republic shirts,4.2,51.0,0.0,1,0,1,0,0,0,1,0,0,0,,
15,"Banana Republic Men's Short Sleeve Trendy T-Shirts, S M L XL XXL, Choice",https://www.ebay.com/itm/184991016704?chn=ps&mkevt=1&mkcid=28&var=694081079866&srsltid=AfmBOopM8iadT_OG4sxQCvXRZjdaFjCbUfPiOsvFBKeO8k9zNkGA0Wy15CM&com_cvv=d30042528f072ba8a22b19c81250437cd47a2f30330f0ed03551c4efdaf3409e,https://www.google.com/shopping/product/1?gl=us&prds=pid:1449852893117323292,1449852893117323292,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=1449852893117323292,,,,eBay - rivermissouri,,19.98,,,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSlDxAkDNI3FOoDKSklG-GSACW4cqaNC4YYRXukY_DbKlRI10o1Sr77UxkID8HJt3xPdz2cGAPZ6nWGBUN2qnVXL4gepUhFM55Rfr5kMiV8thRqGiKBXoLVxw&usqp=CAE,"Free delivery by Wed, Oct 11",,,,,,,ban_q,banana republic shirts,4.629411764705883,65.0,0.0,0,0,0,0,0,0,0,0,1,0,,
16,Banana Republic Factory Shirts | Banana Republic- Nwt- Slim-Fit Untuckedshirt ...,https://poshmark.com/listing/Banana-Republic-NWT-SlimFit-UntuckedShirt-White-Print-630e6d372e25866e4274ccfc?com_cvv=d30042528f072ba8a22b19c81250437cd47a2f30330f0ed03551c4efdaf3409e#utm_source=gdm_unpaid,https://www.google.com/shopping/product/6139011981874056389?gl=us,6139011981874056389,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=6139011981874056389,,,,Poshmark,,13.0,,,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRlT8OnBmgdl6i6ZJy_3z_DYpcAB29ZAgQhTlBsGj2PgLU3MRcJrZuFAl0PESDT6GESXej5Sdyw-6nzt7IqwEFUUUQTIW_6eX_WxywbRfc&usqp=CAE,"Delivery by Tue, Oct 10",,20.0,SALE,['SALE'],,,ban_q,banana republic shirts,4.629411764705883,65.0,-7.0,0,1,0,0,0,0,0,0,0,0,,
17,Banana Republic Factory Men's Summer Wash Polo Beige Regular Size XXL,https://bananarepublicfactory.gapfactory.com/browse/product.do?pid=623065031&vid=1&tid=bfns000001,https://www.google.com/shopping/product/17253778498057066639?gl=us,17253778498057066639,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=17253778498057066639,,,,Banana Republic Factory,,39.97,4.8,21.0,Top Quality Store,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQ9XUlOdsMwZBiRXVy3C40dUfcrzbLaP66mvIbiujUFVW2s__YMzJ54tNEd8ymHLpPbcvPk6TrGY7nRwwtjrFfnlwUMz9Cq0UcuBcb8vLQ&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns",,50.0,SALE,['SALE'],4.6,,ban_q,banana republic shirts,4.8,21.0,-10.030000000000001,0,1,1,0,0,0,1,0,0,0,,
18,Banana Republic Women's Petite Poplin Bishop-Sleeve Top Maverick Tan Petite Size Xs,https://bananarepublic.gap.com/browse/product.do?pid=748608032&vid=3&tid=brns000051,https://www.google.com/shopping/product/15099779692736043553?gl=us,15099779692736043553,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=15099779692736043553,,,,Banana Republic,,53.97,3.6,16.0,Top Quality Store,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcS8pChitGD5TQuGQR13kuWshXF0A09UcxoytzIA2So8D79ezYDWxmVPHFRpH2t-sBa8ndzvqMsKt2aVh6LzYtsHL-2uzgryJ8GxYPQImGXTZ3gFMqA0VeSRQA&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns",,84.5,SALE,['SALE'],,,ban_q,banana republic shirts,3.6,16.0,-30.53,0,1,1,0,0,0,1,0,0,0,,
19,Banana Republic Shirts | Banana Republic Slim Fit Shirt Sleeve Button Down ...,https://poshmark.com/listing/Banana-Republic-slim-fit-shirt-sleeve-button-down-634f12f8f8c5da216d5b4b0e?srsltid=AfmBOorItbxktwq5xSVicOuCaZEdllHkf_k5OkiJRcDP1A7FNstJOixrfjY#utm_source=gdm_unpaid,https://www.google.com/shopping/product/13180385459222916807?gl=us,13180385459222916807,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=13180385459222916807,,,,Poshmark,,16.0,,,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcT9DVSsl_BYQHOhvAnHILWY6xf-fSF6xHNHwDBhG1ApP1EDk93g_4aNJB1G5OyAgFexstDbTy7gFh8nTv52ac027ye__6wRKHiM3WJbLyM&usqp=CAE,"Delivery by Fri, Oct 6",,20.0,SALE,['SALE'],,used,ban_q,banana republic shirts,4.629411764705883,65.0,-4.0,0,1,0,0,0,0,0,0,0,0,,
20,Banana Republic Women's Slub Crew-Neck T-Shirt Costa Coffee Brown Petite Size M,https://bananarepublic.gap.com/browse/product.do?pid=817022042&vid=3&tid=brns000051,https://www.google.com/shopping/product/221120446431514944?gl=us,221120446431514944,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=221120446431514944,,,,Banana Republic,,45.0,,,Top Quality Store,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSrJN7JyqdP5jRqtiAlaQPB7EReMh0GfBJqXn7M2TlCtO6JM2l6hg0SoAfp3ULn7b8DUhNHk2TanAdJmJOUHOJEuuKxGgrc7_BB5TAZGaOtMB-g5VKs4jbLVQ&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns",,,,,,,ban_q,banana republic shirts,4.629411764705883,65.0,0.0,0,0,1,0,0,0,1,0,0,0,,
21,"Banana Republic Boat-Neck Top, Rayon/Lyocell, Tan/Black Anima Print, Size M, Nwt",https://www.bonanza.com/listings/Banana-Republic-Boat-Neck-Top-Rayon-Lyocell-Tan-Black-Anima-Print-Size-M-NWT/855462909?goog_pla=1,https://www.google.com/shopping/product/7105639084229604355?gl=us,7105639084229604355,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=7105639084229604355,,,,Bonanza - Bonanza User's booth,,39.5,,,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRq5tHoIC2csllqRIASXqv9Q1mAkdhKIsBEyxQPVTpRBjKhtOfPz7j42sDnsDNDRvPFuYRSq91xCnbLgROg2WcF99V6CrE6m-CgU2NTz6MRn_b3nHkp5ub7&usqp=CAE,$4.50 delivery,,,,,,,ban_q,banana republic shirts,4.629411764705883,65.0,0.0,0,0,0,0,0,0,0,0,0,0,,
22,Banana Republic Shirts | Banana Republic Black Crewneck Short Sleeve Eagle ...,https://poshmark.com/listing/Banana-Republic-Black-Crewneck-Short-Sleeve-Eagle-Graphic-TShirt-Mens-Medium-64fceef0948ffef86d962f2b?srsltid=AfmBOop77OKLIYVTMZVXLyZaA4IG7nSSjK9hNd9VUMNGC8ACgLa_5AWCo5k#utm_source=gdm_unpaid,https://www.google.com/shopping/product/8588207780802428747?gl=us,8588207780802428747,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=8588207780802428747,,,,Poshmark,,15.0,,,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTKf583zhL5KYacX5h7Ss_eV4Go5OC5iAdtMMBoQx8G5e3Wg1EMh5hf64J2_Ogst8LfiFiEjrsqkPuu7F6jjeV8MewPji0JDxlbLPMSRaRL_eIL0aY6FfYr&usqp=CAE,"Delivery by Fri, Oct 6",,,,,,used,ban_q,banana republic shirts,4.629411764705883,65.0,0.0,0,0,0,0,0,0,0,0,0,0,,
23,Banana Republic Factory Men's Graphic T-Shirt Charcoal Regular Size Xs,https://bananarepublicfactory.gapfactory.com/browse/product.do?pid=623467001&vid=1&tid=bfns000001,https://www.google.com/shopping/product/3092938424515061858?gl=us,3092938424515061858,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=3092938424515061858,,,,Banana Republic Factory,,21.0,4.9,19.0,Top Quality Store,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTajRFZnZQk2-7ob9ep12VdsM9cKiSHm9DWGqdBPzBAZKlQ_bei_6aALEPrg9pGpIXUnLNjpaVTYdboVFsynjfPwQ4vn2gvzjfPpWgEUOboCGGDs0FP4s4E&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns",,35.0,SALE,['SALE'],4.6,,ban_q,banana republic shirts,4.9,19.0,-14.0,0,1,1,0,0,0,1,0,0,0,,
24,Banana Republic Women's Slub V-Neck T-Shirt New Hunter Green Petite Size S,https://bananarepublic.gap.com/browse/product.do?pid=817021052&vid=3&tid=brns000051,https://www.google.com/shopping/product/15367335401556015221?gl=us,15367335401556015221,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=15367335401556015221,,,,Banana Republic,,45.0,,,Top Quality Store,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTrKoAle_cdzpzA4KWKOFR7yCsNyB6z8_OOmkyhJLnwhDzfBzurN427x1uUD-zxJ29EzRgVsaY_iaUzNMG1Izps04H74SshIgEMPsEtpxEO&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns",,,,,,,ban_q,banana republic shirts,4.629411764705883,65.0,0.0,0,0,1,0,0,0,1,0,0,0,,
25,"Banana Republic Men's Vintage Tee Organic Cotton Long Sleeve Henley, Burgundy, M ...",https://www.bonanza.com/listings/Banana-Republic-Men-s-Vintage-Tee-Organic-Cotton-Long-Sleeve-Henley-Burgundy-M/1526453821?goog_pla=1&variation_id=1742110839,https://www.google.com/shopping/product/13984714881010003557?gl=us,13984714881010003557,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=13984714881010003557,,,,Bonanza - hot1ce,,29.99,,,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSOzcu9LeIcTX92iEZKbQ-Iw55FEED3npDVh9mz8rCxHOee_NlDfhJo_BejVYo-3W5G50MUIm2oivGJblI619bE1JLR_jhbH0rm4vdJeY-ZxqVFp0xKkGBNMA&usqp=CAE,$4.99 delivery,,,,,,,ban_q,banana republic shirts,4.629411764705883,65.0,0.0,0,0,0,0,0,0,0,0,0,0,,
26,Banana Republic Women's Slub Crew-Neck T-Shirt New British Khaki Size Xs,https://bananarepublic.gap.com/browse/product.do?pid=817022002&vid=1&tid=brns000051,https://www.google.com/shopping/product/13263665963719166609?gl=us,13263665963719166609,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=13263665963719166609,,,,Banana Republic,,45.0,,,Top Quality Store,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQlktmjOVIuLjlizscaR-fkQiqaV5iwmlAjXYbPeLvVmcURio3qC2L64ghHlCXzebZLJbJ3MHKEdChTRi9usJR_L_3FjHwTDwgX3I2uLXmI&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns",,,,,,,ban_q,banana republic shirts,4.629411764705883,65.0,0.0,0,0,1,0,0,0,1,0,0,0,,
27,Banana Republic Men's Shirt - Blue - M,https://www.depop.com/products/adnerew-banana-republic-blue-plaid-cotton/?srsltid=AfmBOooJz_zyuSR-ZdoZi0ieUZMP8n3p61sWqXq0Jc4A78TNXT9u7jitx0Y,https://www.google.com/shopping/product/2943991812948322112?gl=us,2943991812948322112,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=2943991812948322112,,,,Depop,,25.0,,,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRLf9NYHtwl4_VrxugFsZG5u9Ax2EYYd5B-34M-hGQ55TTg7Qhp9yPAhir1ViU92xkymiHRY47m0gDopkj0kU0rkB4Bb549Ui0AR8l0ql_t&usqp=CAE,$6.19 delivery,,,,,,used,ban_q,banana republic shirts,4.629411764705883,65.0,0.0,0,0,0,0,0,0,0,0,0,0,,
